央视频道,#genre#
026,http://110.72.83.103:8181/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
中国娱乐国际,http://110.72.83.103:8181/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&authid=0
中学生,http://110.72.83.103:8181/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
冬奥纪实,http://110.72.83.103:8181/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://110.72.83.103:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
北京国际,http://110.72.83.103:8181/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://110.72.83.103:8181/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
安徽国际,http://110.72.83.103:8181/tsfile/live/1074_1.m3u8?key=txiptv&playlive=1&authid=0
平南综合,http://110.72.83.103:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://116.21.121.116:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻,http://110.72.83.103:8181/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
戏曲,http://110.72.83.103:8181/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
江苏国际,http://110.72.83.103:8181/tsfile/live/0127_2.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://118.248.166.19:8088/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://118.248.166.19:8088/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南金鹰卡通,http://118.248.166.19:8088/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
珠江台,http://110.72.83.103:8181/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
粤剧,http://110.72.83.103:8181/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://110.72.83.103:8181/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
贵港新闻,http://110.72.83.103:8181/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
重庆国际,http://110.72.83.103:8181/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
